ID;DES_FUNDAMENTO;DES_EMENTA
186;Artigo 40, inciso II, e ? 4§, da CRFB, e artigos 186, inciso II, e 189, par grafo £nico, da Lei n§ 8.112/90;Constitui‡?o original. Aposentadoria compuls¢ria aos 70 anos de idade. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisito implementado e vigˆncia entre 01/01/1992 e 16/12/1998.
187;"""Artigo 40, inciso III, al¡nea """"a"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"a"""", e 189, par grafo £nico, da Lei n§ 8.112/90""";Constitui‡?o original. Aposentadoria volunt ria, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 16/12/98.
188;"""Artigo 40, inciso III, al¡nea """"b"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"b"""", e 189, par grafo £nico, da Lei n§ 8.112/90""";Constitui‡?o original. Aposentadoria especial de professor, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 16/12/98.
189;"""Artigo 40, inciso III, al¡nea """"c"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"c"""", e 189, par grafo £nico, da Lei n§ 8.112/90""";Constitui‡?o original. Aposentadoria volunt ria, com proventos proporcionais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 16/12/98.
190;"""Artigo 40, inciso III, al¡nea """"d"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"d"""", e 189, par grafo £nico, da Lei n§ 8.112/90""";Constitui‡?o original. Aposentadoria volunt ria, por idade (65 anos - homem ou 60 anos - mulher). Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 16/12/98.
191;Artigo 40, inciso I, e ? 4§, da CRFB, e artigos 186, inciso I, ? 1§, e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com o artigo 3§ da Emenda Constitucional n§ 20/98;Constitui‡?o original c/c artigo 3§ da EC 20/98. Aposentadoria por invalidez qualificada. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98 e vigˆncia at‚ 31/12/03.
192;Artigo 40, inciso I, in fine, e ? 4§, da CRFB, e artigos 186, inciso I, in fine, e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com o artigo 3§ da Emenda Constitucional n§ 20/98;Constitui‡?o original c/c artigo 3§ da EC 20/98. Aposentadoria por invalidez simples. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98 e vigˆncia at‚ 31/12/03.
194;"""Artigo 40, inciso III, al¡nea """"a"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"a"""", e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com o artigo 3§ da Emenda Constitucional n§ 20/98""";Constitui‡?o original c/c artigo 3§ da EC 20/98. Aposentadoria volunt ria, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98 e vigˆncia at‚ 31/12/03.
195;"""Artigo 40, inciso III, al¡nea """"b"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"b"""", e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com o artigo 3§ da Emenda Constitucional n§ 20/98""";Constitui‡?o original c/c artigo 3§ da EC 20/98. Aposentadoria especial de professor. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98 e vigˆncia at‚ 31/12/03.
196;"""Artigo 40, inciso III, al¡nea """"c"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"c"""", e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com o artigo 3§ da Emenda Constitucional n§ 20/98""";Constitui‡?o original c/c artigo 3§ da EC 20/98. Aposentadoria volunt ria, com proventos proporcionais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98 e vigˆncia at‚ 31/12/03.
197;"""Artigo 40, inciso III, al¡nea """"d"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"d"""", e 189, par grafo £nico, da Lei n§ 8.112/90, combinados com o artigo 3§ da Emenda Constitucional n§ 20/98""";Constitui‡?o original c/c artigo 3§ da EC 20/98. Aposentadoria volunt ria por idade (65 anos - homem ou 60 anos - mulher). Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98 e vigˆncia at‚ 31/12/03
198;"""Artigo 8§, incisos I, II e III, al¡neas """"a"""" e """"b"""", da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda""";Regra de transi‡?o da EC 20/98. Aposentadoria volunt ria, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/12/03. Ped gio de 20%.
199;"""Artigo 8§, incisos I, II e III, al¡neas """"a"""" e """"b"""", e ?? 2§ e 3§, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda""";Regra de transi‡?o da EC 20/98. Aposentadoria especial de magistrado e de membro do Minist‚rio P£blico ou do Tribunal de Contas (somente homem). Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/
200;"""Artigo 8§, incisos I, II e III, al¡neas """"a"""" e """"b"""", e ? 4§, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda""";Regra de transi‡?o da EC 20/98. Aposentadoria especial de professor, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/12/03. Ped gio de 20%. Conta-se o tempo de efetivo magist‚rio at‚ 16/12/98
201;"""Artigo 8§, ? 1§, inciso I, al¡neas """"a"""" e """"b"""", e inciso II, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda""";Regra de transi‡?o da EC 20/98. Aposentadoria volunt ria, com proventos proporcionais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/12/03. Ped gio de 40%.
202;"""Artigo 8§, ? 1§, inciso I, al¡neas """"a"""" e """"b"""", e inciso II, e ?? 2§ e 3§, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda""";Regra de transi‡?o da EC 20/98. Aposentadoria especial de magistrado e de membro do Minist‚rio P£blico ou do Tribunal de Contas (somente homem), com proventos proporcionais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at
203;"""Artigo 8§, ? 1§, inciso I, al¡neas """"a"""" e """"b"""", e inciso II, e ? 4§, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda""";Regra de transi‡?o da EC 20/98. Aposentadoria especial de professor, com proventos proporcionais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/12/03. Ped gio de 40%. Conta-se o tempo de efetivo magist‚rio at‚ 16/12
204;Artigo 40, ? 1§, inciso I, e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98;Constitui‡?o na reda‡?o da EC 20/98. Aposentadoria por invalidez simples. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/12/03.
205;Artigo 40, ? 1§, inciso I, in fine, e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98 e artigo 186, inciso I, ? 1§ da Lei n§ 8.112/90;Constitui‡?o na reda‡?o da EC 20/98. Aposentadoria por invalidez qualificada. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/12/03.
206;Artigo 40, ? 1§, inciso II, e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98;Constitui‡?o na reda‡?o da EC 20/98. Aposentadoria compuls¢ria aos 70 anos de idade. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisito implementado e vigˆncia entre 17/12/1998 e 31/12/2003.
207;"""Artigo 40, ? 1§, inciso III, al¡nea """"a"""", e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Constitui‡?o na reda‡?o da EC 20/98. Aposentadoria volunt ria, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/12/03.
208;"""Artigo 40, ? 1§, inciso III, al¡nea """"a"""", e ?? 3§, 5§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Constitui‡?o na reda‡?o da EC 20/98. Aposentadoria especial de professor. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 31/12/03. Exigido tempo de efetivo exerc¡cio das fun‡?es de magist‚rio na
209;"""Artigo 40, ? 1§, inciso III, al¡nea """"b"""", e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Constitui‡?o na reda‡?o da EC 20/98. Aposentadoria volunt ria por idade (65 anos-homem ou 60 anos-mulher, 10 anos de servi‡o p£blico e 05 anos no cargo). Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados e vig
210;Artigo 190 da Lei n§ 8.112/90;Integraliza‡?o de proventos. Acometimento de qualquer das mol‚stias especificadas no art. 186, ? 1ø, da Lei n§ 8.112/90.
211;Artigo 192, inciso II, da Lei n§ 8.112/90;Proventos do padr?o correspondente, acrescidos da diferen‡a entre esse e o padr?o da classe imediatamente anterior. Assegurados a servidor ocupante da £ltima classe da carreira que conta tempo de servi‡o para aposentadoria com proventos integrais. Requisi
212;Artigo 191 da Lei n§ 8.112/90;Provento n?o inferior a 1/3 (um ter‡o) da remunera‡?o da atividade, quando proporcional ao tempo de servi‡o (inaplic vel aos proventos calculados na forma definida no art. 1§ da Lei n§ 10.887/2004 - Decis?o TCDF n§ 8027/09).
213;Artigo 193 da Lei n§ 8.112/90;Assegura ao servidor que tiver exercido cargo comissionado por per¡odo de 5 anos consecutivos, ou 10 anos interpolados, carrear para os proventos a gratifica‡?o da fun‡?o ou remunera‡?o do cargo comissionado de maior valor, desde que exercido por um per¡o
214;Artigo 1§ da Lei n§ 1.004/96, combinado com os artigos 4§ da Lei n§ 1.141/96 e 4§, par grafo £nico, da Lei n§ 1.864/98;Manuten‡?o de fra‡?es de d‚cimos incorporadas no per¡odo de 11/01/96 a 31/07/96 (Lei n§ 1.004/96) e 01/08/96 a 19/01/98 (Lei n§ 1.141/96).
215;Artigo 2§, ? 1§, da Lei n§ 6.732/79;Incorpora‡?o de quintos a partir do 6§ ano de exerc¡cio de cargos comissionados, at‚ completar o d‚cimo ano.
220;Artigos 1§ e 7§ da Lei n§ 1.004/96;D‚cimos incorporados na vigˆncia da Lei n§ 1.004/96 cumulados com os quintos incorporados, transformados em d‚cimos por essa lei.
221;Artigo 62, ? 2§, da Lei n§ 8.112/90, combinado com o artigo 4§ da Lei n§ 8.911/94;Vantagem pelo exerc¡cio de cargo comissionado, relativa … op‡?o pelo vencimento do cargo efetivo.
222;Artigo 1§ da Lei n§ 1.004/96;Incorpora‡?o de 1/10 (um d‚cimo) por ano da retribui‡?o mensal do cargo comissionado exercido.
223;Artigos 1§ e 7§ da Lei n§ 1.004/96, combinados com o artigo 4§ da Lei n§ 1.141/96, e com o artigo 4§, par grafo £nico, da Lei n§ 1.864/98;Manuten‡?o das parcelas de d‚cimos incorporadas pelas Leis nos 1.004/96 (per¡odo de 11/01/96 a 31/07/96) e 1.141/96 (per¡odo de 01/08/96 a 19/01/98), bem como dos quintos incorporados at‚ 10/01/96, transformados em d‚cimos.
224;Artigo 1§ da Lei n§ 1.004/96, combinado com o artigo 4§ da Lei n§ 1.141/96;Manuten‡?o de fra‡?es de d‚cimos incorporadas no per¡odo de 11/01/96 a 31/07/96 e incorpora‡?o de d‚cimos pela Lei n§ 1.141/96
225;"""Artigo 217, inciso II, al¡nea """"c"""", da Lei n§ 8.112/90""";Irm?o(?) inv lido(a), com dependˆncia econ“mica.
226;"""Artigo 217, inciso II, al¡nea """"d"""", da Lei n§ 8.112/90""";Pessoa designada menor de 21 anos, com dependˆncia econ“mica.
227;"""Artigo 217, inciso II, al¡nea """"d"""", da Lei n§ 8.112/90""";Pessoa designada, inv lida, com dependˆncia econ“mica.
228;Artigo 37, inciso I, par grafo £nico, da Lei n§ 10.486/02.;Filho(a) interdito(a) ou inv lido(a).
229;Artigo 37, inciso III, par grafo £nico, da Lei n§ 10.486/02;Pessoa designada interdita ou inv lida, com dependˆncia econ“mica.
236;Artigo 5§, par grafo £nico, da Lei n§ 3.373/58;Filha solteira, maior de 21 anos, n?o ocupante de cargo p£blico permanente. Benefici ria de servidor(a) falecido(a) antes da entrada em vigor da Lei n§ 8.112/90.
237;Artigo 40, ? 1§, inciso I, e ? 3§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98 e artigos 186, inciso I, in fine, e 189 da Lei n§ 8.112/90, combinado com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03;Constitui‡?o na reda‡?o da EC 41/03. Aposentadoria por invalidez simples. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Ingresso no servi‡o p£blico at‚ 31/12/03. Requisitos implementados a partir de 31/12/03. Decis?o TCDF n§ 5859/
238;Artigo 40, ? 1§, inciso I, in fine, e ? 3§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98 e artigos 186, inciso I, ? 1§ e 189 da Lei n§ 8.112/90, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03;Constitui‡?o na reda‡?o da EC 41/03. Aposentadoria por invalidez qualificada. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Ingresso no servi‡o p£blico at‚ 31/12/03. Requisitos implementados a partir de 31/12/03. Decis?o TCDF n§ 5859/
239;Artigo 40, ?? 3§, 4§, 8§ e 17, da CRFB, combinado com os artigos 1§, inciso I, da Lei Complementar n§ 51/85, e, 1§ e 15 da Lei n§ 10.887/04;Constitui‡?o na reda‡?o da EC 41/03 c/c Lei 10.887/04. Aposentadoria especial, volunt ria, de policial. Ingresso no servi‡o p£blico AP?S 31/12/03. Proventos integrais. C lculo pela m‚dia, sem paridade.
240;Artigo 40, ?? 1§ e 4§, da CRFB, combinado com o artigo 1§, inciso I, da Lei Complementar n§ 51/85;Constitui‡?o original. Aposentadoria especial de policial. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados e vigˆncia at‚ 16/12/98.
242;Artigo 40, ?? 3§ e 4§, da CRFB, com reda‡?o da Emenda Constitucional n§ 20/98, combinado com os artigos 1§, inciso I, da Lei Complementar n§ 51/85, e, 3§ e 7§ da Emenda Constitucional n§ 41/03;Constitui‡?o na reda‡?o da EC 20/98 referente a concess?es a partir da EC 41/03. Aposentadoria especial, volunt ria, de policial. Ingresso no servi‡o p£blico at‚ 31/12/03. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos para
243;Artigo 40, ?? 1§ e 4§, da CRFB, combinado com o artigo 1§, inciso I, da Lei Complementar n§ 51/85, e artigo 3§ da Emenda Constitucional n§ 20/98;Constitui‡?o original c/c artigo 3§ da EC 20/98. Aposentadoria especial, volunt ria, de policial. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98 e vigˆncia at‚ 31/12/03.
245;Artigos 37, caput, 39, ? 1§, e 53, da Lei n§ 10.486/2002;Pens?o militar, correspondente ao valor da remunera‡?o ou dos proventos. Instituidor que N?O fez op‡?o pela contribui‡?o adicional prevista no artigo 36, ? 3§, inciso I da Lei n§ 10.486/2002.
246;Artigos 215 e 224 da Lei n§ 8.112/90;Pens?o civil. Atos publicados at‚ 31/12/2003 relativos a ¢bitos ocorridos at‚ essa data, bem como as concess?es de pens?es referentes aos ¢bitos ocorridos no per¡odo de 01/01/2004 a 19/02/2004. C lculo pelo valor da £ltima remunera‡?o/proventos. Paridade.
247;Artigos 88, inciso II, 95, inciso III, da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02;Agrega‡?o h  mais de 2 (dois) anos, por ter sido julgado incapaz, temporariamente, mediante homologa‡?o da Junta Superior de Sa£de, ainda mesmo que se trate de mol‚stia cur vel. Militar com 30 anos ou mais de servi‡o. Proventos integrais, calculados com b
248;Artigo 26, inciso I, da Lei n§ 10.486/02;Aux¡lio-invalidez, assegurado ao militar que necessita de hospitaliza‡?o em raz?o do acometimento de doen‡a especificada em lei.
249;Artigo 26, inciso II, da Lei n§ 10.486/02;Aux¡lio-invalidez assegurado ao militar que necessita de assistˆncia ou de cuidados de enfermagem em raz?o do acometimento de doen‡a especificada em lei.
250;Artigos 87, inciso II, 94, inciso III, da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02;Agrega‡?o h  mais de 2 (dois) anos, por ter sido julgado incapaz, temporariamente, mediante homologa‡?o da Junta Superior de Sa£de, ainda mesmo que se trate de mol‚stia cur vel. Militar com 30 anos ou mais de servi‡o. Proventos integrais, calculados com b
251;Artigos 87, inciso II, 94, inciso IV, da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02;Inativa‡?o de militar condenado, por senten‡a transitada em julgado, … pena da reforma prevista no C¢digo Penal Militar. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a in
252;Artigos 87, inciso II, 94, inciso IV, da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02;Inativa‡?o de militar condenado, por senten‡a transitada em julgado, … pena da reforma prevista no C¢digo Penal Militar. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para
253;Artigos 87, inciso II, 94, inciso V, da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02;Reforma de Oficial determinada pelo Tribunal de Justi‡a do Distrito Federal, em julgamento efetuado em consequˆncia de Conselho de Justifica‡?o a que foi submetido. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em
254;Artigos 87, inciso II, 94, inciso V, da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02;Reforma de Oficial determinada pelo Tribunal de Justi‡a do Distrito Federal, em julgamento efetuado em consequˆncia de Conselho de Justifica‡?o a que foi submetido. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetiv
255;Artigos 87, inciso II, 94, inciso VI, da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02;Reforma de Aspirante-a-Oficial PM ou Pra‡a com estabilidade assegurada, quando for para tal indicado ao Comandante-Geral da Pol¡cia Militar, em julgamento do Conselho de Disciplina. Proventos proporcionais, calculados com base na remunera‡?o correspondent
256;Artigos 87, inciso II, 94, inciso VI, da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02;Reforma de Aspirante-a-Oficial PM ou Pra‡a com estabilidade assegurada, quando for para tal indicado ao Comandante-Geral da Pol¡cia Militar, em julgamento do Conselho de Disciplina. Proventos integrais, calculados com base na remunera‡?o correspondente ao
257;Artigos 88, inciso II, 95, inciso VI, da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02;Reforma de Aspirante-a-Oficial BM ou Pra‡a com estabilidade assegurada, quando for para tal indicado ao Comandante-Geral do Corpo de Bombeiros, em julgamento do Conselho de Disciplina. Proventos integrais, calculados com base na remunera‡?o correspondente
258;Artigos 88, inciso II, 95, inciso VI, da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02;Reforma de Aspirante-a-Oficial BM ou Pra‡a com estabilidade assegurada, quando for para tal indicado ao Comandante-Geral do Corpo de Bombeiros, em julgamento do Conselho de Disciplina. Proventos proporcionais, calculados com base na remunera‡?o correspond
259;Artigos 88, inciso II, 95, inciso V, da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02;Reforma de Oficial determinada pelo Tribunal de Justi‡a do Distrito Federal, em julgamento efetuado em consequˆncia de Conselho de Justifica‡?o a que foi submetido. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetiv
260;Artigos 88, inciso II, 95, inciso V, da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02;Reforma de Oficial determinada pelo Tribunal de Justi‡a do Distrito Federal, em julgamento efetuado em consequˆncia de Conselho de Justifica‡?o a que foi submetido. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em
261;Artigos 88, inciso II, 95, inciso IV, da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02;Inativa‡?o de militar condenado, por senten‡a transitada em julgado, … pena da reforma prevista no C¢digo Penal Militar. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para
262;Artigos 88, inciso II, 95, inciso IV, da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02;Inativa‡?o de militar condenado, por senten‡a transitada em julgado, … pena da reforma prevista no C¢digo Penal Militar. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a in
263;"""Artigos 59, """"caput"""", 87, inciso II, 94, inciso II, 96, inciso VI da Lei n§ 7.289/84, combinados com os artigos 20, ? 1§, inciso I, e 25 da Medida Provis¢ria n§ 2.218/01""";Incapacidade definitiva decorrente de acidente ou doen‡a, mol‚stia ou enfermidade, sem rela‡?o de causa e efeito com o servi‡o. Militar com 30 anos ou mais de servi‡o. Proventos integrais. Requisitos implementados at‚ 03/07/02.
264;Artigos 87, inciso II, 94, inciso II e 96, inciso III, da Lei n§ 7.289/84, combinados com os artigos 20, ? 1§, inciso I, e 24, inciso II, da Medida Provis¢ria n§ 2.218/01;Incapacidade definitiva decorrente de acidente em servi‡o. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade. Requisitos implementados e vigˆncia at‚ 03/07/02.
265;Artigos 87, inciso II, 94, inciso II, 96, inciso VI, da Lei n§ 7.289/84, combinados com os artigos 20, ? 1§, inciso II, e 25 da Medida Provis¢ria n§ 2.218/01;Incapacidade definitiva decorrente de acidente ou doen‡a, mol‚stia ou enfermidade, sem rela‡?o de causa e efeito com o servi‡o. Proventos proporcionais. Requisitos implementados at‚ 03/07/02.
266;Artigos 87, inciso II, 94, inciso II, e 96, inciso I, da Lei n§ 7.289/84, combinados com os artigos 20, ? 1§, inciso I, e 24, inciso I, da Medida Provis¢ria n§ 2.218/01;Incapacidade definitiva decorrente de ferimento recebido em opera‡?es policiais-militares ou na manuten‡?o da ordem p£blica. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para
267;Artigos 87, inciso II, 94, inciso II, e 96, inciso II, da Lei n§ 7.289/84, combinados com os artigos 20, ? 1§, inciso I, e 24, inciso I, da Medida Provis¢ria n§ 2.218/01;Incapacidade definitiva decorrente de enfermidade contra¡da em opera‡?es policiais-militares ou na manuten‡?o da ordem p£blica, ou enfermidade cuja causa eficiente decorra de uma dessas situa‡?es. Proventos integrais, calculados com base na remunera‡?o co
268;Artigos 87, inciso II, 94, inciso II, e 96, inciso IV, da Lei n§ 7.289/84, combinados com os artigos 20, ? 1§, inciso I, e 24, inciso III, da Medida Provis¢ria n§ 2.218/01;Incapacidade definitiva decorrente de doen‡a, mol‚stia ou enfermidade adquirida em tempo de paz, com rela‡?o de causa e efeito a condi‡?es inerentes ao servi‡o. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que
269;Artigos 87, inciso II, 94, inciso II, e 96, inciso V, da Lei n§ 7.289/84, combinados com os artigos 20, ? 1§, inciso I, e 24, inciso IV e ? 1§, da Medida Provis¢ria n§ 2.218/01;Incapacidade definitiva decorrente de mol‚stia profissional, doen‡a grave, contagiosa ou incur vel (especificada em lei), desde que torne o militar total ou permanentemente inv lido para qualquer trabalho. Proventos integrais, calculados com base na remun
270;Artigos 87, inciso II, 94, inciso II, e 96, inciso V, da Lei n§ 7.289/84, combinados com os artigos 20, ? 1§, inciso II, e 24, ? 2§, da Medida Provis¢ria n§ 2.218/01;Incapacidade definitiva decorrente de mol‚stia profissional, doen‡a grave, contagiosa ou incur vel (especificada em lei), desde que n?o torne o militar total ou permanentemente inv lido para qualquer trabalho. Proventos proporcionais, calculados com base
271;Artigos 87, inciso II, 94, inciso III, da Lei n§ 7.289/84, combinados com o artigo 20, ? 1§, inciso II, da Medida Provis¢ria n§ 2.218/01;Agrega‡?o h  mais de 2 (dois) anos, por ter sido julgado incapaz, temporariamente, mediante homologa‡?o da Junta Superior de Sa£de, ainda mesmo que se trate de mol‚stia cur vel. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao
272;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"a"""", da Lei n§ 7.289/84, combinados com o artigo 20, ? 1§, inciso I, da Medida Provis¢ria n§ 2.218/01""";Atingimento (Oficial Superior), at‚ 03/07/02, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade. Requisitos
273;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"a"""", da Lei n§ 7.289/84, combinados com o artigo 20, ? 1§, inciso II, da Medida Provis¢ria n§ 2.218/01""";Atingimento (Oficial Superior), at‚ 03/07/02, da idade-limite de permanˆncia na reserva remunerada. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade. Requis
274;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"b"""", da Lei n§ 7.289/84, combinados com o artigo 20, ? 1§, inciso I, da Medida Provis¢ria n§ 2.218/01""";Atingimento (Capit?es e Oficiais Subalternos), at‚ 03/07/02, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inativid
275;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"b"""", da Lei n§ 7.289/84, combinados com o artigo 20, ? 1§, inciso II, da Medida Provis¢ria n§ 2.218/01""";Atingimento (Capit?es e Oficiais Subalternos), at‚ 03/07/02, da idade-limite de permanˆncia na reserva remunerada. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inat
276;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"c"""", da Lei n§ 7.289/84, combinados com o artigo 20, ? 1§, inciso I, da Medida Provis¢ria n§ 2.218/01""";Atingimento (Pra‡as), at‚ 03/07/02, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade. Requisitos implement
